TIME,SST,SSS,time
1863-07-29 00:00:00,298.33096,33.626034,1863.5
1863-08-29 00:00:00,299.60025,33.71626,1863.583333
1863-09-28 00:00:00,299.99323,33.748806,1863.666667
1863-10-29 00:00:00,297.82864,33.80447,1863.75
1863-11-28 00:00:00,295.91876,33.695393,1863.833333
1863-12-29 00:00:00,294.90628,33.00988,1863.916667
1864-01-29 00:00:00,294.1834,32.67146,1864
1864-02-26 00:00:00,293.35883,32.57974,1864.083333
1864-03-28 00:00:00,292.71637,32.880207,1864.166667
1864-04-27 00:00:00,293.23367,33.11018,1864.25
1864-05-28 00:00:00,294.11215,33.262386,1864.333333
1864-06-27 00:00:00,296.0352,33.490463,1864.416667
1864-07-28 00:00:00,298.489,33.64892,1864.5
1864-08-28 00:00:00,299.47736,33.715637,1864.583333
1864-09-27 00:00:00,299.53253,33.747303,1864.666667
1864-10-28 00:00:00,298.55014,33.75768,1864.75
1864-11-27 00:00:00,296.50357,33.657093,1864.833333
1864-12-28 00:00:00,294.3745,33.077003,1864.916667
1865-01-28 00:00:00,292.81055,32.44872,1865
1865-02-25 00:00:00,292.578,32.79945,1865.083333
1865-03-28 00:00:00,292.27963,32.98519,1865.166667
1865-04-27 00:00:00,292.59717,33.13857,1865.25
1865-05-28 00:00:00,293.94922,33.275543,1865.333333
1865-06-27 00:00:00,296.11804,33.40534,1865.416667
1865-07-28 00:00:00,297.84875,33.58591,1865.5
1865-08-28 00:00:00,299.49393,33.686275,1865.583333
1865-09-27 00:00:00,299.5313,33.72473,1865.666667
1865-10-28 00:00:00,298.75226,33.71543,1865.75
1865-11-27 00:00:00,296.492,33.604626,1865.833333
1865-12-28 00:00:00,294.17993,33.40014,1865.916667
1866-01-28 00:00:00,292.69424,33.18629,1866
1866-02-25 00:00:00,292.25345,33.091457,1866.083333
1866-03-28 00:00:00,292.0616,33.133465,1866.166667
1866-04-27 00:00:00,292.29404,33.215607,1866.25
1866-05-28 00:00:00,293.91122,33.30797,1866.333333
1866-06-27 00:00:00,296.05872,33.397884,1866.416667
1866-07-28 00:00:00,298.3828,33.573597,1866.5
1866-08-28 00:00:00,299.5355,33.72737,1866.583333
1866-09-27 00:00:00,299.88486,33.77939,1866.666667
1866-10-28 00:00:00,298.31042,33.783344,1866.75
1866-11-27 00:00:00,295.85477,33.695255,1866.833333
1866-12-28 00:00:00,294.10233,33.616592,1866.916667
1867-01-28 00:00:00,293.03033,33.31371,1867
1867-02-25 00:00:00,292.3332,33.234,1867.083333
1867-03-28 00:00:00,292.16138,33.263306,1867.166667
1867-04-27 00:00:00,292.59088,33.35933,1867.25
1867-05-28 00:00:00,293.9464,33.417847,1867.333333
1867-06-27 00:00:00,295.9883,33.499527,1867.416667
1867-07-28 00:00:00,297.8675,33.635376,1867.5
1867-08-28 00:00:00,299.5015,33.736404,1867.583333
1867-09-27 00:00:00,299.74734,33.78753,1867.666667
1867-10-28 00:00:00,298.38522,33.777237,1867.75
1867-11-27 00:00:00,295.84924,33.628593,1867.833333
1867-12-28 00:00:00,294.36215,33.171173,1867.916667
1868-01-28 00:00:00,293.18936,33.169865,1868
1868-02-25 00:00:00,292.74792,33.207767,1868.083333
1868-03-27 00:00:00,292.58124,33.261112,1868.166667
1868-04-26 00:00:00,292.81415,33.366444,1868.25
1868-05-27 00:00:00,293.60428,33.457176,1868.333333
1868-06-26 00:00:00,296.1937,33.62591,1868.416667
1868-07-27 00:00:00,298.29086,33.724243,1868.5
1868-08-27 00:00:00,299.6066,33.785767,1868.583333
1868-09-26 00:00:00,299.85638,33.796867,1868.666667
1868-10-27 00:00:00,298.18054,33.771656,1868.75
1868-11-26 00:00:00,296.4158,33.676044,1868.833333
1868-12-27 00:00:00,294.36676,33.236126,1868.916667
1869-01-27 00:00:00,292.83792,33.174168,1869
1869-02-24 00:00:00,292.1897,33.039547,1869.083333
1869-03-27 00:00:00,291.71735,33.02402,1869.166667
1869-04-26 00:00:00,292.3192,33.153908,1869.25
1869-05-27 00:00:00,293.8646,33.246834,1869.333333
1869-06-26 00:00:00,296.22903,33.366474,1869.416667
1869-07-27 00:00:00,297.93704,33.524208,1869.5
1869-08-27 00:00:00,298.87262,33.594017,1869.583333
1869-09-26 00:00:00,299.13,33.611797,1869.666667
1869-10-27 00:00:00,297.9928,33.632053,1869.75
1869-11-26 00:00:00,296.03473,33.486313,1869.833333
1869-12-27 00:00:00,293.9914,33.433838,1869.916667
