time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1984-03-01 0:00:00,292.6732,292.6732,292.6732,293.8565,285.6327,287.44705,295.87616,295.87616,295.87616,291.6668,291.6668,298.8518,292.30646,292.30646,292.30646,292.30646,292.30646,292.30646,293.35507,293.35507,298.5674,296.11993,298.22537,298.61615,298.61615,298.61615,296.33948,297.55106,297.55106,298.0703,299.4375,299.4375,299.20648,300.13324,300.13324,300.60855,300.60855,301.45157,301.45157,300.3393,302.4595,300.58002,302.4595,300.58002,300.58002,301.40552,300.96277,301.40552,300.96277,301.40552,302.3312,302.3312,302.3312,302.3312,302.52386,302.52386,302.52386,302.52386,302.52386,302.52386,302.52386,301.37625,301.37625,300.70023,300.70023,300.70023,300.70023,299.94223,299.94223,299.1325,298.27133,298.27133,298.27133,298.27133,298.27133,298.27133,300.04477,297.517,299.80716,296.88434,298.34125,296.88434,296.88434,296.88434,297.01593,297.01593,297.01593,297.41003,297.41003
1984-04-01 0:00:00,292.7037,292.7037,292.7037,293.88,290.53738,291.81104,296.2606,296.2606,296.2606,296.7591,296.7591,298.7319,297.3949,297.3949,297.3949,297.3949,297.3949,297.3949,298.3855,298.3855,298.6738,296.72144,298.12143,299.0965,299.0965,299.0965,299.96097,297.47385,297.47385,298.2628,299.6369,299.6369,299.61038,302.66165,302.66165,300.83627,300.83627,301.4995,301.4995,300.77444,301.39505,301.24316,301.39505,301.24316,301.24316,302.0431,301.0313,302.0431,301.0313,302.0431,302.69846,302.69846,302.69846,302.69846,303.12564,303.12564,303.12564,303.12564,303.12564,303.12564,303.12564,302.20032,302.20032,301.3005,301.3005,301.3005,301.3005,300.4253,300.4253,299.6092,298.67587,298.67587,298.67587,298.67587,298.67587,298.67587,300.5644,297.7575,300.08365,296.8249,298.464,296.8249,296.8249,296.8249,296.80667,296.80667,296.80667,297.17044,297.17044
1984-05-01 0:00:00,293.07178,293.07178,293.07178,294.14157,296.20886,298.21118,297.00656,297.00656,297.00656,303.96652,303.96652,299.20477,304.4344,304.4344,304.4344,304.4344,304.4344,304.4344,305.1923,305.1923,299.45117,296.81076,298.65594,300.13547,300.13547,300.13547,306.90585,298.33182,298.33182,299.0579,300.43784,300.43784,299.83728,299.54883,299.54883,301.16122,301.16122,301.50992,301.50992,301.98477,300.52493,302.47983,300.52493,302.47983,302.47983,302.81934,300.5724,302.81934,300.5724,302.81934,302.7849,302.7849,302.7849,302.7849,302.71616,302.71616,302.71616,302.71616,302.71616,302.71616,302.71616,301.90912,301.90912,300.9376,300.9376,300.9376,300.9376,299.9799,299.9799,299.15784,298.3967,298.3967,298.3967,298.3967,298.3967,298.3967,300.67816,297.59274,300.30453,296.45062,298.91202,296.45062,296.45062,296.45062,296.27762,296.27762,296.27762,296.16385,296.16385
1984-06-01 0:00:00,294.4815,294.4815,294.4815,295.5595,301.64688,303.2558,298.54114,298.54114,298.54114,306.11276,306.11276,300.1388,306.03604,306.03604,306.03604,306.03604,306.03604,306.03604,306.3628,306.3628,299.8986,296.3183,299.2189,300.75864,300.75864,300.75864,305.76642,298.85544,298.85544,299.3881,301.15805,301.15805,299.97925,298.30862,298.30862,301.24097,301.24097,301.49646,301.49646,302.2776,299.8145,302.5635,299.8145,302.5635,302.5635,302.48373,299.76395,302.48373,299.76395,302.48373,302.3363,302.3363,302.3363,302.3363,301.75385,301.75385,301.75385,301.75385,301.75385,301.75385,301.75385,300.7077,300.7077,299.9672,299.9672,299.9672,299.9672,298.9934,298.9934,298.18634,297.59357,297.59357,297.59357,297.59357,297.59357,297.59357,299.19788,297.00574,299.5763,295.9998,297.9926,295.9998,295.9998,295.9998,295.7112,295.7112,295.7112,294.64847,294.64847
1984-07-01 0:00:00,296.44586,296.44586,296.44586,297.43582,303.01202,304.5447,300.73495,300.73495,300.73495,308.61554,308.61554,301.2312,308.363,308.363,308.363,308.363,308.363,308.363,307.45084,307.45084,300.22913,296.33017,299.60196,301.4481,301.4481,301.4481,302.87192,299.18112,299.18112,299.58725,301.858,301.858,299.1344,297.89737,297.89737,301.48358,301.48358,301.63388,301.63388,302.55276,299.67377,302.19376,299.67377,302.19376,302.19376,301.5366,296.9953,301.5366,296.9953,301.5366,301.22818,301.22818,301.22818,301.22818,300.6341,300.6341,300.6341,300.6341,300.6341,300.6341,300.6341,299.20166,299.20166,298.64798,298.64798,298.64798,298.64798,297.8529,297.8529,296.90988,296.16583,296.16583,296.16583,296.16583,296.16583,296.16583,298.4923,295.53683,298.49323,294.55026,297.04898,294.55026,294.55026,294.55026,294.18774,294.18774,294.18774,292.81244,292.81244
1984-08-01 0:00:00,298.4245,298.4245,298.4245,299.12924,307.87512,309.96014,301.5187,301.5187,301.5187,308.9897,308.9897,301.68964,307.49673,307.49673,307.49673,307.49673,307.49673,307.49673,305.81097,305.81097,300.57718,296.70905,299.9451,301.26517,301.26517,301.26517,300.13223,299.7357,299.7357,300.2662,301.77197,301.77197,299.07678,296.9346,296.9346,301.89017,301.89017,301.4691,301.4691,301.05148,299.05988,300.09384,299.05988,300.09384,300.09384,298.82968,294.8097,298.82968,294.8097,298.82968,299.04947,299.04947,299.04947,299.04947,299.29456,299.29456,299.29456,299.29456,299.29456,299.29456,299.29456,297.90613,297.90613,297.31348,297.31348,297.31348,297.31348,296.6783,296.6783,295.81506,294.96292,294.96292,294.96292,294.96292,294.96292,294.96292,298.2673,294.27145,297.68677,293.33646,296.6304,293.33646,293.33646,293.33646,293.00522,293.00522,293.00522,291.7875,291.7875
1984-09-01 0:00:00,299.65494,299.65494,299.65494,300.2136,308.29114,308.8525,301.8498,301.8498,301.8498,309.8726,309.8726,301.77435,308.79498,308.79498,308.79498,308.79498,308.79498,308.79498,305.286,305.286,300.81668,298.01065,300.5019,301.3309,301.3309,301.3309,299.56598,300.45068,300.45068,301.10648,301.74097,301.74097,299.06674,296.28137,296.28137,301.53525,301.53525,300.141,300.141,299.66104,297.04907,298.76175,297.04907,298.76175,298.76175,297.69012,294.09375,297.69012,294.09375,297.69012,297.72995,297.72995,297.72995,297.72995,298.22726,298.22726,298.22726,298.22726,298.22726,298.22726,298.22726,297.27365,297.27365,296.4582,296.4582,296.4582,296.4582,295.79538,295.79538,295.0554,294.22125,294.22125,294.22125,294.22125,294.22125,294.22125,297.91806,293.3979,297.29233,292.32492,296.26694,292.32492,292.32492,292.32492,291.9833,291.9833,291.9833,290.92474,290.92474
1984-10-01 0:00:00,299.6469,299.6469,299.6469,300.2623,303.85355,304.9453,301.62747,301.62747,301.62747,306.77158,306.77158,301.7766,305.46332,305.46332,305.46332,305.46332,305.46332,305.46332,304.9514,304.9514,300.91724,298.6971,300.71838,301.34988,301.34988,301.34988,300.9693,300.47537,300.47537,300.80667,301.679,301.679,299.1375,296.3177,296.3177,301.13095,301.13095,299.13718,299.13718,298.86108,296.67365,298.45374,296.67365,298.45374,298.45374,297.5947,295.07568,297.5947,295.07568,297.5947,297.3132,297.3132,297.3132,297.3132,297.76193,297.76193,297.76193,297.76193,297.76193,297.76193,297.76193,297.01215,297.01215,296.0339,296.0339,296.0339,296.0339,295.2393,295.2393,294.4419,293.628,293.628,293.628,293.628,293.628,293.628,298.22266,292.76437,297.3483,291.66895,296.3116,291.66895,291.66895,291.66895,291.36526,291.36526,291.36526,290.45718,290.45718
1984-11-01 0:00:00,298.1124,298.1124,298.1124,299.0352,293.23615,295.19827,301.00916,301.00916,301.00916,300.91974,300.91974,301.74252,300.75327,300.75327,300.75327,300.75327,300.75327,300.75327,301.4069,301.4069,300.5446,298.97165,300.38754,300.6475,300.6475,300.6475,300.901,299.94592,299.94592,299.99298,301.57462,301.57462,298.8671,297.02386,297.02386,300.6563,300.6563,298.62933,298.62933,299.13107,296.61472,298.7132,296.61472,298.7132,298.7132,298.32498,296.63666,298.32498,296.63666,298.32498,298.25864,298.25864,298.25864,298.25864,298.24033,298.24033,298.24033,298.24033,298.24033,298.24033,298.24033,296.99353,296.99353,296.0008,296.0008,296.0008,296.0008,295.10696,295.10696,294.184,293.33734,293.33734,293.33734,293.33734,293.33734,293.33734,298.6496,292.53107,297.92447,291.71738,296.59116,291.71738,291.71738,291.71738,291.50412,291.50412,291.50412,290.91898,290.91898
1984-12-01 0:00:00,296.31436,296.31436,296.31436,297.39493,286.86163,287.87946,299.46112,299.46112,299.46112,293.5439,293.5439,301.31924,294.0593,294.0593,294.0593,294.0593,294.0593,294.0593,295.17444,295.17444,300.0912,298.7594,299.9353,300.35507,300.35507,300.35507,297.09976,299.49197,299.49197,299.35635,301.5045,301.5045,299.0403,296.82867,296.82867,300.6452,300.6452,298.6476,298.6476,300.1836,296.31848,299.7389,296.31848,299.7389,299.7389,299.31696,297.2019,299.31696,297.2019,299.31696,299.30966,299.30966,299.30966,299.30966,299.13434,299.13434,299.13434,299.13434,299.13434,299.13434,299.13434,297.6654,297.6654,296.50912,296.50912,296.50912,296.50912,295.4967,295.4967,294.57028,293.66455,293.66455,293.66455,293.66455,293.66455,293.66455,299.51266,292.9593,298.6653,292.1688,297.56046,292.1688,292.1688,292.1688,292.01517,292.01517,292.01517,292.2853,292.2853
1985-01-01 0:00:00,294.73798,294.73798,294.73798,295.8331,280.4562,282.45267,298.3002,298.3002,298.3002,287.8566,287.8566,300.3524,288.23642,288.23642,288.23642,288.23642,288.23642,288.23642,289.50223,289.50223,298.96152,296.6532,299.013,299.50284,299.50284,299.50284,292.75455,298.5198,298.5198,298.26242,300.2776,300.2776,298.6719,292.80618,292.80618,300.498,300.498,299.1095,299.1095,300.88623,296.34573,300.57184,296.34573,300.57184,300.57184,300.26282,297.80078,300.26282,297.80078,300.26282,300.26413,300.26413,300.26413,300.26413,299.79666,299.79666,299.79666,299.79666,299.79666,299.79666,299.79666,298.51938,298.51938,297.6956,297.6956,297.6956,297.6956,296.69955,296.69955,295.66293,294.71353,294.71353,294.71353,294.71353,294.71353,294.71353,301.2254,293.94592,299.62735,293.06522,299.14957,293.06522,293.06522,293.06522,292.94897,292.94897,292.94897,293.65594,293.65594
1985-02-01 0:00:00,293.5136,293.5136,293.5136,294.60773,281.8096,283.2872,297.3898,297.3898,297.3898,287.91925,287.91925,299.658,287.95157,287.95157,287.95157,287.95157,287.95157,287.95157,288.9287,288.9287,298.10208,294.72632,298.09906,298.69598,298.69598,298.69598,292.61777,297.63004,297.63004,297.8463,298.62265,298.62265,297.84265,295.47977,295.47977,300.08673,300.08673,298.5366,298.5366,300.6493,296.12796,300.69147,296.12796,300.69147,300.69147,300.7563,298.17215,300.7563,298.17215,300.7563,300.92612,300.92612,300.92612,300.92612,300.66907,300.66907,300.66907,300.66907,300.66907,300.66907,300.66907,299.6724,299.6724,298.96292,298.96292,298.96292,298.96292,298.18048,298.18048,297.2615,296.42624,296.42624,296.42624,296.42624,296.42624,296.42624,302.21573,295.59546,300.9799,294.62393,300.52408,294.62393,294.62393,294.62393,294.47568,294.47568,294.47568,295.16623,295.16623
1985-03-01 0:00:00,293.02676,293.02676,293.02676,294.01108,285.0137,286.59866,296.753,296.753,296.753,292.22406,292.22406,299.004,292.4538,292.4538,292.4538,292.4538,292.4538,292.4538,293.43494,293.43494,297.58127,294.76346,297.4223,298.0994,298.0994,298.0994,296.1133,297.1393,297.1393,297.84537,298.45724,298.45724,298.07407,300.20862,300.20862,299.9019,299.9019,298.60324,298.60324,300.45053,296.21295,300.7064,296.21295,300.7064,300.7064,301.22827,298.455,301.22827,298.455,301.22827,301.65454,301.65454,301.65454,301.65454,301.6992,301.6992,301.6992,301.6992,301.6992,301.6992,301.6992,300.60733,300.60733,300.03152,300.03152,300.03152,300.03152,299.39664,299.39664,298.6991,297.88715,297.88715,297.88715,297.88715,297.88715,297.88715,302.0267,297.0641,301.92075,295.9854,301.37897,295.9854,295.9854,295.9854,295.76242,295.76242,295.76242,295.98883,295.98883
1985-04-01 0:00:00,292.86716,292.86716,292.86716,293.9416,288.33176,290.05667,296.78394,296.78394,296.78394,295.12054,295.12054,298.70807,295.27835,295.27835,295.27835,295.27835,295.27835,295.27835,296.23373,296.23373,297.72034,295.69092,297.2733,298.346,298.346,298.346,298.0514,297.11343,297.11343,298.0031,298.46057,298.46057,298.85474,299.10037,299.10037,299.5414,299.5414,298.53256,298.53256,301.33157,296.72748,301.91284,296.72748,301.91284,301.91284,302.12085,299.26062,302.12085,299.26062,302.12085,302.22473,302.22473,302.22473,302.22473,302.40488,302.40488,302.40488,302.40488,302.40488,302.40488,302.40488,301.5313,301.5313,300.78513,300.78513,300.78513,300.78513,299.9589,299.9589,299.22275,298.37845,298.37845,298.37845,298.37845,298.37845,298.37845,302.3607,297.4051,301.49506,295.94232,301.30322,295.94232,295.94232,295.94232,295.61053,295.61053,295.61053,295.67453,295.67453
1985-05-01 0:00:00,292.9081,292.9081,292.9081,294.02142,293.8152,295.41867,297.50208,297.50208,297.50208,301.41336,301.41336,299.16724,301.49353,301.49353,301.49353,301.49353,301.49353,301.49353,302.61755,302.61755,298.39142,295.66617,297.74692,299.47122,299.47122,299.47122,305.4351,297.44815,297.44815,298.32614,299.31134,299.31134,299.05203,298.20193,298.20193,299.87845,299.87845,299.188,299.188,301.55487,297.2273,302.1184,297.2273,302.1184,302.1184,302.62088,299.47937,302.62088,299.47937,302.62088,302.63602,302.63602,302.63602,302.63602,302.45242,302.45242,302.45242,302.45242,302.45242,302.45242,302.45242,301.497,301.497,300.58508,300.58508,300.58508,300.58508,299.5797,299.5797,298.74774,297.99014,297.99014,297.99014,297.99014,297.99014,297.99014,302.04803,297.0275,301.31445,295.54517,300.6138,295.54517,295.54517,295.54517,295.23895,295.23895,295.23895,294.9335,294.9335
