record,resolution,duration,archive,lat,lon,infMat,var,interp,season,start_year,end_year,site,pub
CO18HECO01A,0.163629749,202.41,Coral,-12.087,96.875,surface seawater,d18O,Temperature,subannual,1808.17,2010.58,Direction Island,"Hennekam, R., Zinke, J., van Sebille, E., ten Have, M., Brummer, G.-J. A. and Reichart, G.-J.: Cocos (Keeling) Corals Reveal 200 Years of Multidecadal Modulation of Southeast Indian Ocean Hydrology by Indonesian Throughflow, Paleoceanography and Paleoclimatology, 33(1), 48–60, doi:10.1002/2017pa003181, 2018."
CO96SWFB,0.99382716,161,Coral,24.9167,-80.75,surface seawater,d18O,EffectiveMoisture,annual,1824,1985,"Lignumvitae Basin, Florida Bay","Swart, P. K., Healy, G. F., Dodge, R. E., Kramer, P., Hudson, J. H., Halley, R. B. and Robblee, M. B.: The stable oxygen and carbon isotopic record from a coral growing in Florida Bay: a 160 year record of climatic and anthropogenic influence, Palaeogeography, Palaeoclimatology, Palaeoecology, 123(1-4), 219–237, doi:10.1016/0031-0182(95)00078-x, 1996."
CO05KUBE,0.083289404,158,Coral,32.467,-64.7,surface seawater,d18O,Temperature,subannual,1825.21,1983.21,"North East Breakers, Bermuda","Kuhnert, H., Crueger, T. and Paetzold, J.: NAO signature in a Bermuda coral Sr/Ca record, Geochemistry, Geophysics, Geosystems, 6(4), n/a–n/a, doi:10.1029/2004gc000786, 2005."
CO04PFRE,0.166500509,163.67,Coral,-21.0333,55.25,surface seawater,d18O,Temperature,subannual,1832,1995.67,"La Reunion, Southwestern Indian Ocean","Pfeiffer, M., Timm, O., Dullo, W.-C. and Podlech, S.: Oceanic forcing of interannual and multidecadal climate variability in the southwestern Indian Ocean: Evidence from a 160 year coral isotopic record (La Reunion, 55°E, 21°S), Paleoceanography, 19(4), n/a–n/a, doi:10.1029/2003pa000964, 2004."
CO00URMA,0.166487069,154.5,Coral,0.933,173,surface seawater,d18O,Temperature,subannual,1840,1994.5,"Maiana Atoll, Republic of Kiribati","Urban, F. E., Cole, J. E. and Overpeck, J. T.: Influence of mean climate change on climate variability from a 155-year tropical Pacific coral record, Nature, 407(6807), 989–993, doi:10.1038/35039597, 2000."
CO12GOVA,0.083291267,165,Coral,-15.94,166.04,surface seawater,d18O,EffectiveMoisture,subannual,1842.625,2007.625,Vanuatu,"Gorman, M. K., Quinn, T. M., Taylor, F. W., Partin, J. W., Cabioch, G., Austin, J. A., Pelletier, B., Ballu, V., Maes, C. and Saustrup, S.: A coral-based reconstruction of sea surface salinity at Sabine Bank, Vanuatu from 1842 to 2007 CE, Paleoceanography, 27(3), n/a–n/a, doi:10.1029/2012pa002302, 2012."
CO97CHSY,0.083290359,148.59,Coral,-4.6062,55.4244,surface seawater,d18O,Temperature,subannual,1846.54,1995.13,"Beau Vallon Bay, Mahe Island, Republic of the Seychelles","Charles, C. D.: Interaction Between the ENSO and the Asian Monsoon in a Coral Record of Tropical Climate, Science, 277(5328), 925–928, doi:10.1126/science.277.5328.925, 1997."
CO14ZIHO,0.993865031,162,Coral,-28.4589,113.749,surface seawater,d18O,Temperature,annual,1848,2010,Houtman Abrolhos,"Zinke, J., Rountrey, A., Feng, M., Xie, S.-P., Dissard, D., Rankenburg, K., Lough, J. M. and McCulloch, M. T.: Corals record long-term Leeuwin current variability including Ningaloo Nino/Nina since 1795, Nature Communications, 5(1), doi:10.1038/ncomms4607, 2014."
CO98BOFP,0.992805755,138,Coral,-17.5,-149.8333,surface seawater,d18O,Temperature,subannual,1852.5,1990.5,"Moorea, French Polynesia","Boiseau, M., Juillet-Leclerc, A., Yiou, P., Salvat, B., Isdale, P. and Guillaume, M.: Atmospheric and oceanic evidences of El Nino-Southern Oscillation events in the south central Pacific Ocean from coral stable isotopic records over the last 137 years, Paleoceanography, 13(6), 671–685, doi:10.1029/98pa02502, 1998."
CO13DESC01A,0.993710692,158,Coral,19.287,110.656,surface seawater,d18O,EffectiveMoisture,annual,1853,2011,Hainan Island,"Deng, W., Wei, G., Xie, L., Ke, T., Wang, Z., Zeng, T. and Liu, Y.: Variations in the Pacific Decadal Oscillation since 1853 in a coral record from the northern South China Sea, Journal of Geophysical Research: Oceans, 118(5), 2358–2366, doi:10.1002/jgrc.20180, 2013."
